Company Name,Date Applied,Advancment
,,
R&R,08/10/2020,In review
Hi5 Studios,08/10/2020,No
Grove #1,08/10/2020,Nothing yet
Atmosfy,08/10/2020,Nothing yet
Synergistics,08/10/2020,No
Osano,08/10/2020,Nothing yet
Braintree,08/10/2020,Nothing yet
Kanna,08/11/2020,Nothing yet
Litty,08/11/2020,Nothing yet
Grove #2,08/11/2020,Nothing yet
Jovio,08/11/2020,No
Bite,08/11/2020,Nothing yet
Google,,
Kibo,07/22/2020,Nothing yet
